Genre_Main,topic,ChunkCount,NumChunks_in_Genre,Percentage_within_Genre,topic_label,topic_summary,top_words
Comedy,62,0,4042,0.0,62. Medieval Household and Servitude Terms,Medieval Household and Servitude Terms,"hir, quod, fraunces, dame, mistresse, mistres, elynor, pergo, seruaunt, chamber"
Comedy,66,0,4042,0.0,66. Historical figures and royal relationships,Historical figures and royal relationships,"arcadius, lisimachus, demetrius, epire, polidora, seleucus, macarius, queene, love, madam"
Comedy,67,0,4042,0.0,67. Arthurian legend and medieval warfare,Arthurian legend and medieval warfare,"mordred, warres, arthur, arthurs, mordreds, fates, sire, brytaine, brytaines, gorlois"
Comedy,68,0,4042,0.0,68. Characters and events from the Aeneid epic poem,Characters and events from the Aeneid epic poem,"aeneas, dido, iarbus, didos, achates, anna, carthage, ascanius, ships, troy"
Comedy,70,0,4042,0.0,70. Scottish historical figures and places,Scottish historical figures and places,"wallace, bruce, selby, clifford, mentith, grimsby, graham, scotch, scotland, bloud"
Comedy,71,0,4042,0.0,71. Religious morality and repentance,Religious morality and repentance,"god, synne, beleue, mercy, repent, sinne, repentance, lorde, godly, wicked"
Comedy,72,0,4042,0.0,72. Personal names and surnames,Personal names and surnames,"robin, george, frier, greene, earle, hood, pinner, king, wakefield, lluellen"
Tragedy,2,651,3456,18.8368,2. Cosmology and Afterlife Concepts,Cosmology and Afterlife Concepts,"great, death, minde, gods, earth, loe, place, world, things, light"
Tragedy,0,303,3456,8.7674,0. Domestic and marital relationships,Domestic and marital relationships,"loue, wife, pray, lady, house, master, gentleman, woman, sweet, husband"
Tragedy,5,278,3456,8.044,5. Roman political and mythological figures,Roman political and mythological figures,"brutus, rome, pompey, great, martius, men, antony, people, world, gods"
Tragedy,12,143,3456,4.1377,12. Historical figures and warfare in Ottoman context,Historical figures and warfare in Ottoman context,"tamburlaine, baiazet, zenocrate, mahomet, tamburlain, armes, theridamas, persea, crowne, turkish"
Tragedy,15,136,3456,3.9352,15. Roman political institutions and figures,Roman political institutions and figures,"senate, caesar, consul, rome, catiline, hem, seianvs, state, cato, st"
Tragedy,16,125,3456,3.6169,16. Political authority and governance,Political authority and governance,"kings, feare, power, state, princes, lawes, men, ill, nature, rage"
Tragedy,4,122,3456,3.5301,4. Medieval English and French Nobility,Medieval English and French Nobility,"king, lord, yorke, france, duke, henry, edward, england, richard, lords"
Tragedy,23,111,3456,3.2118,23. Medieval language and natural elements,Medieval language and natural elements,"wyth, dothe, doothe, agayne, lyght, styll, hande, syght, myght, seas"
Tragedy,22,110,3456,3.1829,22. Trojan War Characters and Mythology,Trojan War Characters and Mythology,"hector, achilles, troylus, aiax, troy, diomed, patroclus, paris, hectors, troyan"
Tragedy,10,101,3456,2.9225,"10. Life, Death, and Emotional Experience","Life, Death, and Emotional Experience","death, dead, life, soule, teares, die, heart, griefe, loue, liue"
Tragedy,13,99,3456,2.8646,13. Noble Titles and Family Relations,Noble Titles and Family Relations,"duke, lord, brother, florence, death, sciarrha, dead, treason, life, amidea"
Tragedy,28,84,3456,2.4306,28. Ancient Roman political and military figures,Ancient Roman political and military figures,"marius, scilla, rome, pompey, frends, consull, scillas, caesar, cynna, vvhat"
Tragedy,6,76,3456,2.1991,6. Medieval monarchy and nobility,Medieval monarchy and nobility,"king, lord, mortimer, gaueston, edward, france, england, lords, queene, maiestie"
Tragedy,14,72,3456,2.0833,14. Mythology and Legendary Figures,Mythology and Legendary Figures,"greece, saturne, hercules, sonne, king, mother, iason, death, sonnes, orestes"
Tragedy,34,66,3456,1.9097,34. Roman political figures and power struggles,Roman political figures and power struggles,"caesar, cleopatra, antony, state, death, st, caesars, euer, blood, dead"
Tragedy,38,59,3456,1.7072,38. Shakespearean Drama Characters and Relationships,Shakespearean Drama Characters and Relationships,"hamlet, lord, horatio, laertes, mother, denmarke, king, father, leartes, heauen"
Tragedy,37,58,3456,1.6782,37. Trojan War and Greek Mythology,Trojan War and Greek Mythology,"troy, greekes, achilles, hectors, pyrrhus, troyans, agayne, hector, bloud, alas"
Tragedy,40,58,3456,1.6782,40. Roman historical figures and imperial themes,Roman historical figures and imperial themes,"rome, titus, andronicus, lucius, emperour, marcus, lauinia, gothes, sonnes, saturnine"
Tragedy,27,57,3456,1.6493,27. Personal names and familial relationships,Personal names and familial relationships,"antonio, berinthia, trincalo, flauia, sebastiano, valasco, pandolfo, sister, armellina, love"
Tragedy,39,57,3456,1.6493,39. Ancient Punic and Roman Historical Figures and Events,Ancient Punic and Roman Historical Figures and Events,"carthage, scipio, syphax, sophonisba, massinissa, hannibal, rome, massanissa, asdruball, gods"
Tragedy,42,56,3456,1.6204,42. Roman-Egyptian Historical Figures and Relationships,Roman-Egyptian Historical Figures and Relationships,"antonius, cleopatra, anthony, queen, plutarch, dio, love, canidius, rome, egypt"
Tragedy,33,49,3456,1.4178,33. Medieval Nobility and Authority,Medieval Nobility and Authority,"admirall, chabot, chancellor, king, iudges, lord, kings, condemn, honour, life"
Tragedy,21,46,3456,1.331,21. Sleep and Dreaming Processes,Sleep and Dreaming Processes,"sleepe, bed, night, dreame, rest, day, awake, wake, light, dreames"
Tragedy,18,42,3456,1.2153,18. Human emotions and existential themes,Human emotions and existential themes,"loue, euer, life, heart, thing, heare, death, way, said, men"
Tragedy,50,41,3456,1.1863,50. Shakespearean characters and events from Romeo and Juliet,Shakespearean characters and events from Romeo and Juliet,"romeo, tybalt, mercutio, iuliet, night, mountague, dead, romeos, paris, tibalt"
Tragedy,8,39,3456,1.1285,8. Nobility and Aristocratic Court Life,Nobility and Aristocratic Court Life,"dutchesse, duke, signiour, borgia, court, love, madam, prince, grace, lord"
Tragedy,61,36,3456,1.0417,61. Ancient historical figures and rulers,Ancient historical figures and rulers,"cyrus, abradates, panthea, gobrias, antiochus, libanio, campe, babylon, lord, dinon"
Tragedy,62,35,3456,1.0127,62. Medieval Household and Servitude Terms,Medieval Household and Servitude Terms,"hir, quod, fraunces, dame, mistresse, mistres, elynor, pergo, seruaunt, chamber"
Tragedy,67,33,3456,0.9549,67. Arthurian legend and medieval warfare,Arthurian legend and medieval warfare,"mordred, warres, arthur, arthurs, mordreds, fates, sire, brytaine, brytaines, gorlois"
Tragedy,3,32,3456,0.9259,3. Mythology and Precious Materials,Mythology and Precious Materials,"venus, cupid, loue, siluer, gold, great, hand, gods, white, earth"
Tragedy,51,32,3456,0.9259,51. Renaissance nobility and aristocratic figures,Renaissance nobility and aristocratic figures,"andrea, hieronimo, horatio, balthazar, sforza, prince, lord, sonne, lorenzo, slaine"
Tragedy,68,32,3456,0.9259,68. Characters and events from the Aeneid epic poem,Characters and events from the Aeneid epic poem,"aeneas, dido, iarbus, didos, achates, anna, carthage, ascanius, ships, troy"
Tragedy,24,28,3456,0.8102,24. Latin function words,Latin function words,"est, non, que, sed, ego, si, hoc, qui, te, ad"
Tragedy,7,22,3456,0.6366,7. Expressions of Praise and Affection,Expressions of Praise and Affection,"loue, loues, siluia, faire, protheus, eyes, heart, louer, siluio, louers"
Tragedy,1,19,3456,0.5498,1. Social roles and faith in daily life,Social roles and faith in daily life,"wife, gentlemen, gentleman, woman, pray, time, lady, faith, old, little"
Tragedy,19,17,3456,0.4919,19. Theater and Drama Literature,Theater and Drama Literature,"printed, play, stage, acted, author, london, read, written, comedy, censure"
Tragedy,47,17,3456,0.4919,47. Theatrical performance and literary works,Theatrical performance and literary works,"shake, stage, workes, liue, booke, cankring, parlying, hake, prodegie, stratford"
Tragedy,41,13,3456,0.3762,41. Religious devotion and moral conduct,Religious devotion and moral conduct,"heere, hic, lord, wit, pray, god, hazard, true, heare, men"
Tragedy,52,13,3456,0.3762,52. Literary Authorship and Textual Integrity,Literary Authorship and Textual Integrity,"writings, reade, bene, imitator, frauds, abu, maimed, quitted, draw, capacities"
Tragedy,54,13,3456,0.3762,54. Classical and Early Modern Theater References,Classical and Early Modern Theater References,"greeke, stage, forth, paccuuius, marlowes, euripides, lily, gropes, cordoua, sockes"
Tragedy,55,13,3456,0.3762,55. Poetry and poetic language,Poetry and poetic language,"poets, dry, lines, poet, line, auon, torned, nuncius, corp, antiquated"
Tragedy,59,13,3456,0.3762,59. Commerce and Trade Practices,Commerce and Trade Practices,"playes, buy, obtai, leauened, weighd, dailie, stationer, priuiledges, peales, orth"
Tragedy,60,13,3456,0.3762,60. Early modern literary and legal documents,Early modern literary and legal documents,"trifles, liuing, booke, exequutor, blount, vvrit, heereto, shakespeares, iaggard, patrones"
Tragedy,43,12,3456,0.3472,43. Medieval Religious and Familial Language,Medieval Religious and Familial Language,"wyfe, daye, godes, father, praye, therfore, wherfore, waye, tyll, woulde"
Tragedy,72,9,3456,0.2604,72. Personal names and surnames,Personal names and surnames,"robin, george, frier, greene, earle, hood, pinner, king, wakefield, lluellen"
Tragedy,26,7,3456,0.2025,26. Nobility and Courtly Relations,Nobility and Courtly Relations,"duke, clarinda, loue, dukes, lord, madame, belieue, court, true, father"
Tragedy,36,1,3456,0.0289,36. Medieval Romance and Chivalry,Medieval Romance and Chivalry,"roderigo, cimena, love, sancho, cid, honour, madam, king, heart, duty"
Tragedy,45,1,3456,0.0289,45. Medieval social roles and everyday objects,Medieval social roles and everyday objects,"clay, squire, awdrey, tub, turfe, puppy, hun, iohn, marten, chanon"
Tragedy,46,1,3456,0.0289,46. Venetian trade and commerce,Venetian trade and commerce,"anthonio, dulipo, philogano, camillo, venice, ducats, sicilia, portia, paper, futelli"
Tragedy,49,1,3456,0.0289,49. Biblical figures and ancient Israel royalty,Biblical figures and ancient Israel royalty,"dauids, israel, absalon, dauid, vrias, ioab, absolon, ammon, king, cusay"
Tragedy,57,1,3456,0.0289,57. Medieval English dialects and linguistic variation,Medieval English dialects and linguistic variation,"ich, neele, diccon, gammer, hodge, cham, chat, gogs, chil, hodg"
Tragedy,64,1,3456,0.0289,64. Marriage and Social Status,Marriage and Social Status,"ring, gaue, finger, begd, away, clarke, woman, wife, iudges, lord"
Tragedy,71,1,3456,0.0289,71. Religious morality and repentance,Religious morality and repentance,"god, synne, beleue, mercy, repent, sinne, repentance, lorde, godly, wicked"
Tragedy,73,1,3456,0.0289,73. Classical Literature and Mythological Characters,Classical Literature and Mythological Characters,"evadne, pamphilus, techmessa, tyndarus, um, cleora, philoclea, mors, love, tutour"
Tragedy,9,0,3456,0.0,9. City governance and civic honor,City governance and civic honor,"london, maior, worthy, honor, yeare, time, honour, day, londons, city"
Tragedy,11,0,3456,0.0,11. Medieval religious and moral concepts,Medieval religious and moral concepts,"payne, god, gyue, thynke, parte, ryght, eueryman, heuen, wherfore, muche"
Tragedy,17,0,3456,0.0,17. Middle English language and reasoning terms,Middle English language and reasoning terms,"ys, yt, wyth, thyng, shuld, wold, wyse, reason, theym, maner"
Tragedy,20,0,3456,0.0,20. Religious texts and Christian theology,Religious texts and Christian theology,"lorde, lawe, soch, god, holy, christ, lawes, whan, gospell, saynt"
Tragedy,25,0,3456,0.0,25. Characters and settings in a literary work,Characters and settings in a literary work,"melibea, calisto, celestina, parmeno, sempronio, lucrecia, old, elicia, house, paine"
Tragedy,29,0,3456,0.0,29. Personal names and titles,Personal names and titles,"bacon, margret, lacie, peggie, frier, fryer, lacy, raphe, lord, edward"
Tragedy,31,0,3456,0.0,31. Early Modern English Poetry and Names,Early Modern English Poetry and Names,"amyntas, phillis, noe, soe, stil, sweete, fro, whoe, shal, bony"
Tragedy,32,0,3456,0.0,32. Religious figures and worship practices,Religious figures and worship practices,"god, iacob, temple, lord, philologus, lorde, saviour, prophet, doo, gods"
Tragedy,35,0,3456,0.0,35. Medieval Market Goods and Trade,Medieval Market Goods and Trade,"numps, fayre, numpes, bartholmew, buy, bread, fine, ginger, peares, hem"
Tragedy,44,0,3456,0.0,44. Classical Pastoral Poetry and Love Themes,Classical Pastoral Poetry and Love Themes,"siluia, cloris, thirsis, palaemon, ah, techne, euer, loue, heart, bene"
Tragedy,48,0,3456,0.0,48. British nobility and historical figures,British nobility and historical figures,"cromwell, bedford, lord, earle, gardiner, lambeth, hodge, hart, mantua, thomas"
Tragedy,56,0,3456,0.0,56. Characters in a Shakespearean Comedy,Characters in a Shakespearean Comedy,"kate, ferando, polidor, bianca, lucentio, gremio, tranio, katherine, sander, petruchio"
Tragedy,58,0,3456,0.0,58. Characters and Marriage in Classical Drama,Characters and Marriage in Classical Drama,"pamphilus, dauus, chremes, simo, doo, glycerie, marriage, matter, carinus, childe"
Tragedy,63,0,3456,0.0,63. Classical Friendship and Loyalty Narratives,Classical Friendship and Loyalty Narratives,"damon, pithias, dionisius, doo, kinge, carisophus, friendship, die, frindship, courte"
Tragedy,65,0,3456,0.0,65. Medieval or Renaissance Drama Characters,Medieval or Renaissance Drama Characters,"faukenbridge, skinke, hermit, richard, redcap, fau, prince, porter, iohn, la"
Tragedy,66,0,3456,0.0,66. Historical figures and royal relationships,Historical figures and royal relationships,"arcadius, lisimachus, demetrius, epire, polidora, seleucus, macarius, queene, love, madam"
Tragedy,69,0,3456,0.0,69. Classical Mythology and Performing Arts,Classical Mythology and Performing Arts,"apollos, apollo, siren, hedone, muses, shrouing, amphibius, play, schoole, whoope"
Tragedy,70,0,3456,0.0,70. Scottish historical figures and places,Scottish historical figures and places,"wallace, bruce, selby, clifford, mentith, grimsby, graham, scotch, scotland, bloud"
Tragedy,74,0,3456,0.0,74. Mythological Figures and Names,Mythological Figures and Names,"pandora, stesias, iphicles, melos, learchus, gunophilus, pandoraes, loue, fayre, vvhat"
History,4,362,940,38.5106,4. Medieval English and French Nobility,Medieval English and French Nobility,"king, lord, yorke, france, duke, henry, edward, england, richard, lords"
History,6,189,940,20.1064,6. Medieval monarchy and nobility,Medieval monarchy and nobility,"king, lord, mortimer, gaueston, edward, france, england, lords, queene, maiestie"
History,0,124,940,13.1915,0. Domestic and marital relationships,Domestic and marital relationships,"loue, wife, pray, lady, house, master, gentleman, woman, sweet, husband"
History,48,46,940,4.8936,48. British nobility and historical figures,British nobility and historical figures,"cromwell, bedford, lord, earle, gardiner, lambeth, hodge, hart, mantua, thomas"
History,49,41,940,4.3617,49. Biblical figures and ancient Israel royalty,Biblical figures and ancient Israel royalty,"dauids, israel, absalon, dauid, vrias, ioab, absolon, ammon, king, cusay"
History,70,32,940,3.4043,70. Scottish historical figures and places,Scottish historical figures and places,"wallace, bruce, selby, clifford, mentith, grimsby, graham, scotch, scotland, bloud"
History,1,19,940,2.0213,1. Social roles and faith in daily life,Social roles and faith in daily life,"wife, gentlemen, gentleman, woman, pray, time, lady, faith, old, little"
History,41,11,940,1.1702,41. Religious devotion and moral conduct,Religious devotion and moral conduct,"heere, hic, lord, wit, pray, god, hazard, true, heare, men"
History,13,10,940,1.0638,13. Noble Titles and Family Relations,Noble Titles and Family Relations,"duke, lord, brother, florence, death, sciarrha, dead, treason, life, amidea"
History,3,8,940,0.8511,3. Mythology and Precious Materials,Mythology and Precious Materials,"venus, cupid, loue, siluer, gold, great, hand, gods, white, earth"
History,47,8,940,0.8511,47. Theatrical performance and literary works,Theatrical performance and literary works,"shake, stage, workes, liue, booke, cankring, parlying, hake, prodegie, stratford"
History,52,8,940,0.8511,52. Literary Authorship and Textual Integrity,Literary Authorship and Textual Integrity,"writings, reade, bene, imitator, frauds, abu, maimed, quitted, draw, capacities"
History,54,8,940,0.8511,54. Classical and Early Modern Theater References,Classical and Early Modern Theater References,"greeke, stage, forth, paccuuius, marlowes, euripides, lily, gropes, cordoua, sockes"
History,55,8,940,0.8511,55. Poetry and poetic language,Poetry and poetic language,"poets, dry, lines, poet, line, auon, torned, nuncius, corp, antiquated"
History,59,8,940,0.8511,59. Commerce and Trade Practices,Commerce and Trade Practices,"playes, buy, obtai, leauened, weighd, dailie, stationer, priuiledges, peales, orth"
History,60,8,940,0.8511,60. Early modern literary and legal documents,Early modern literary and legal documents,"trifles, liuing, booke, exequutor, blount, vvrit, heereto, shakespeares, iaggard, patrones"
History,72,8,940,0.8511,72. Personal names and surnames,Personal names and surnames,"robin, george, frier, greene, earle, hood, pinner, king, wakefield, lluellen"
History,33,7,940,0.7447,33. Medieval Nobility and Authority,Medieval Nobility and Authority,"admirall, chabot, chancellor, king, iudges, lord, kings, condemn, honour, life"
History,10,5,940,0.5319,"10. Life, Death, and Emotional Experience","Life, Death, and Emotional Experience","death, dead, life, soule, teares, die, heart, griefe, loue, liue"
History,18,5,940,0.5319,18. Human emotions and existential themes,Human emotions and existential themes,"loue, euer, life, heart, thing, heare, death, way, said, men"
History,26,4,940,0.4255,26. Nobility and Courtly Relations,Nobility and Courtly Relations,"duke, clarinda, loue, dukes, lord, madame, belieue, court, true, father"
History,16,3,940,0.3191,16. Political authority and governance,Political authority and governance,"kings, feare, power, state, princes, lawes, men, ill, nature, rage"
