topic,count,top_words,topic_summary
37,61,"troy, greekes, achilles, hectors, pyrrhus, troyans, agayne, hector, bloud, alas",Trojan War and Greek Mythology
38,60,"hamlet, lord, horatio, laertes, mother, denmarke, king, father, leartes, heauen",Shakespearean Drama Characters and Relationships
39,60,"carthage, scipio, syphax, sophonisba, massinissa, hannibal, rome, massanissa, asdruball, gods",Ancient Punic and Roman Historical Figures and Events
40,60,"rome, titus, andronicus, lucius, emperour, marcus, lauinia, gothes, sonnes, saturnine",Roman historical figures and imperial themes
41,57,"heere, hic, lord, wit, pray, god, hazard, true, heare, men",Religious devotion and moral conduct
42,56,"antonius, cleopatra, anthony, queen, plutarch, dio, love, canidius, rome, egypt",Roman-Egyptian Historical Figures and Relationships
43,52,"wyfe, daye, godes, father, praye, therfore, wherfore, waye, tyll, woulde",Medieval Religious and Familial Language
44,48,"siluia, cloris, thirsis, palaemon, ah, techne, euer, loue, heart, bene",Classical Pastoral Poetry and Love Themes
45,47,"clay, squire, awdrey, tub, turfe, puppy, hun, iohn, marten, chanon",Medieval social roles and everyday objects
46,47,"anthonio, dulipo, philogano, camillo, venice, ducats, sicilia, portia, paper, futelli",Venetian trade and commerce
47,47,"shake, stage, workes, liue, booke, cankring, parlying, hake, prodegie, stratford",Theatrical performance and literary works
48,46,"cromwell, bedford, lord, earle, gardiner, lambeth, hodge, hart, mantua, thomas",British nobility and historical figures
49,43,"dauids, israel, absalon, dauid, vrias, ioab, absolon, ammon, king, cusay",Biblical figures and ancient Israel royalty
50,41,"romeo, tybalt, mercutio, iuliet, night, mountague, dead, romeos, paris, tibalt",Shakespearean characters and events from Romeo and Juliet
51,40,"andrea, hieronimo, horatio, balthazar, sforza, prince, lord, sonne, lorenzo, slaine",Renaissance nobility and aristocratic figures
52,40,"writings, reade, bene, imitator, frauds, abu, maimed, quitted, draw, capacities",Literary Authorship and Textual Integrity
53,40,"love, daphnis, nerina, hylas, cariclea, caricles, dorinda, theagines, cnemon, gods",Mythological and Romantic Characters
54,39,"greeke, stage, forth, paccuuius, marlowes, euripides, lily, gropes, cordoua, sockes",Classical and Early Modern Theater References
56,38,"kate, ferando, polidor, bianca, lucentio, gremio, tranio, katherine, sander, petruchio",Characters in a Shakespearean Comedy
55,38,"poets, dry, lines, poet, line, auon, torned, nuncius, corp, antiquated",Poetry and poetic language
58,38,"pamphilus, dauus, chremes, simo, doo, glycerie, marriage, matter, carinus, childe",Characters and Marriage in Classical Drama
57,38,"ich, neele, diccon, gammer, hodge, cham, chat, gogs, chil, hodg",Medieval English dialects and linguistic variation
61,36,"cyrus, abradates, panthea, gobrias, antiochus, libanio, campe, babylon, lord, dinon",Ancient historical figures and rulers
59,36,"playes, buy, obtai, leauened, weighd, dailie, stationer, priuiledges, peales, orth",Commerce and Trade Practices
60,36,"trifles, liuing, booke, exequutor, blount, vvrit, heereto, shakespeares, iaggard, patrones",Early modern literary and legal documents
62,35,"hir, quod, fraunces, dame, mistresse, mistres, elynor, pergo, seruaunt, chamber",Medieval Household and Servitude Terms
63,35,"damon, pithias, dionisius, doo, kinge, carisophus, friendship, die, frindship, courte",Classical Friendship and Loyalty Narratives
64,35,"ring, gaue, finger, begd, away, clarke, woman, wife, iudges, lord",Marriage and Social Status
65,35,"faukenbridge, skinke, hermit, richard, redcap, fau, prince, porter, iohn, la",Medieval or Renaissance Drama Characters
66,34,"arcadius, lisimachus, demetrius, epire, polidora, seleucus, macarius, queene, love, madam",Historical figures and royal relationships
67,34,"mordred, warres, arthur, arthurs, mordreds, fates, sire, brytaine, brytaines, gorlois",Arthurian legend and medieval warfare
68,33,"aeneas, dido, iarbus, didos, achates, anna, carthage, ascanius, ships, troy",Characters and events from the Aeneid epic poem
69,32,"apollos, apollo, siren, hedone, muses, shrouing, amphibius, play, schoole, whoope",Classical Mythology and Performing Arts
70,32,"wallace, bruce, selby, clifford, mentith, grimsby, graham, scotch, scotland, bloud",Scottish historical figures and places
71,32,"god, synne, beleue, mercy, repent, sinne, repentance, lorde, godly, wicked",Religious morality and repentance
72,31,"robin, george, frier, greene, earle, hood, pinner, king, wakefield, lluellen",Personal names and surnames
73,31,"evadne, pamphilus, techmessa, tyndarus, um, cleora, philoclea, mors, love, tutour",Classical Literature and Mythological Characters
74,31,"pandora, stesias, iphicles, melos, learchus, gunophilus, pandoraes, loue, fayre, vvhat",Mythological Figures and Names
